,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
1,dipeptide_comp,0.807480404496692,2.8195701542929874,7.949975854979781,2.1722471550586304,2.1993108941830224,0.7855111567197133
2,tripeptide_comp,0.8070397247553172,2.709003066576024,7.338697614718301,2.2197419604182183,2.2632325708563537,0.7941985267389393
5,geary_autocorrelation,0.7935286797656509,3.149568931340923,9.919784453268003,1.7473851239058031,2.6117847020544254,0.6818343305710444
4,moran_autocorrelation,0.7915252646401778,3.045947225142633,9.277794498354105,1.9387211523930525,2.5287269231616993,0.7459352745489696
9,conjoint_triad,0.7769923862781216,2.892702380378951,8.367727061450049,2.085823441040747,2.243389468379159,0.790736220448997
11,quasi_seq_order_descriptors,0.7521699540368798,3.02839213458321,9.171158920805452,1.9552338189789296,2.475351422664272,0.7373257667392523
10,seq_order_coupling_number,0.745390676672104,3.175419690684142,10.083290211984574,1.833497828959687,2.5549590133703015,0.7164529753622457
3,norm_moreaubroto_autocorrelation,0.7415444348624789,2.3097122475001886,5.334770666252372,2.817366701877209,1.7706082441261852,0.8717971005096252
0,aa_comp,0.7184330662564982,3.755510550463779,14.103859494644757,1.4499035414374013,2.820748634485501,0.5154740959992942
12,pseudo_aa_comp,0.7122590956178725,2.6996399860066207,7.288056054045827,1.919736566289646,2.2108813315462945,0.7239708770969324
13,amphipilic_pseudo_aa_comp,0.6842711657907109,3.949906971983094,15.601765087320652,1.5992235533147705,3.270975392044278,0.6015595969243863
7,transition,0.6302339722378153,3.960848211626025,15.68831855554108,1.4119398751282548,3.3731647179050896,0.4896106810336669
8,distribution,0.5931353021427952,3.668940167051594,13.461121949404578,1.2659089992444308,2.663162079049644,0.38901996691493734
6,composition,0.5207015990693279,4.070063691108236,16.565418449677594,1.43820853986637,3.320283083680899,0.5249533851932657
