,Algorithm,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1274,DecisionTreeRegressor,"('tripeptide_comp', 'transition', 'pseudo_aa_comp')",1.0,4.23716708493545,17.953584905660378,1.3220164788563387,3.362264150943396,0.46301323925127524
1348,DecisionTreeRegressor,"('moran_autocorrelation', 'composition', 'quasi_seq_order_descriptors')",1.0,4.73314287862029,22.402641509433966,1.3734363313134372,3.581132075471699,0.4730034820755623
1253,DecisionTreeRegressor,"('tripeptide_comp', 'moran_autocorrelation', 'pseudo_aa_comp')",1.0,4.891945632922723,23.931132075471698,1.23051386610315,3.552830188679245,0.33221242571258336
1254,DecisionTreeRegressor,"('tripeptide_comp', 'moran_autocorrelation', 'amphipilic_pseudo_aa_comp')",1.0,4.660451836544898,21.719811320754715,1.2139125203359686,3.6547169811320765,0.3094883685707104
1255,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'composition')",1.0,4.516009258476062,20.394339622641514,1.2850007384484554,3.369811320754718,0.38369540927514645
1256,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'transition')",1.0,4.388299193459893,19.257169811320754,1.2948369925640835,3.356603773584905,0.3920867537839702
1257,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'distribution')",1.0,4.162478398153478,17.326226415094347,1.3562890031532246,3.3566037735849057,0.5196997782080091
1258,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'conjoint_triad')",1.0,4.3104742986410765,18.580188679245282,1.450591140932622,3.49622641509434,0.5177402392118388
1259,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'seq_order_coupling_number')",1.0,4.736251204454649,22.43207547169811,1.1905336158934827,3.7962264150943392,0.29302853725729183
1260,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'quasi_seq_order_descriptors')",1.0,4.085085620681883,16.687924528301885,1.347213267608963,3.271698113207548,0.47033192619837094
1261,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'pseudo_aa_comp')",1.0,3.503933100076445,12.277547169811326,1.6269657396954933,2.7490566037735857,0.6157579159805875
1262,DecisionTreeRegressor,"('tripeptide_comp', 'geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",1.0,5.339652310071586,28.511886792452827,1.244261144107775,4.0396226415094345,0.35237359039351734
