,Algorithm,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,RF,"('_geary_autocorrelation', '_conjoint_triad', '_amp_pseudo_aa_composition')","Autocorrelation,Conjoint Triad,Pseudo Composition",0.8668254630098428,2.1917374773935228,4.8037131698113225,2.7402450520174293,1.8411698113207549,0.8686503772592375
1,PLS,"('_dipeptide_composition', '_ctd', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.8612878308408751,2.3949546856140715,5.7358079461447975,2.6849902834321813,1.829368531345126,0.8628207841035174
2,PLS,"('_tripeptide_composition', '_composition', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.855604108446929,2.229082115050376,4.968807075637457,2.6316163848101106,1.8396326637405545,0.8564715047653905
3,PLS,"('_tripeptide_composition', '_geary_autocorrelation', '_quasi_seq_order')","Composition,Autocorrelation,Quasi-Sequence-Order",0.8523284025701955,2.3931825634200625,5.727322781857821,2.602264957988348,1.944612183787784,0.8541187808213127
4,PLS,"('_geary_autocorrelation', '_transition', '_pseudo_aa_composition')","Autocorrelation,CTD,Pseudo Composition",0.8516307065072717,2.5211010261198457,6.355950383902536,2.5961392650395907,2.104925673145704,0.8567830320365987
5,PLS,"('_geary_autocorrelation', '_ctd', '_transition')","Autocorrelation,CTD,CTD",0.8499958144042101,2.108896680408741,4.447445208639005,2.581952874352638,1.6682587419950818,0.856943107794651
6,PLS,"('_aa_composition', '_tripeptide_composition', '_geary_autocorrelation')","Composition,Composition,Autocorrelation",0.8471008863963811,2.6989912155395137,7.284553581559463,2.5573932593463105,2.1441489861111767,0.8472880147491846
7,Ada,"('_dipeptide_composition', '_moran_autocorrelation', '_conjoint_triad')","Composition,Autocorrelation,Conjoint Triad",0.8461427187913488,2.431065256205053,5.910078279927343,2.5494175615100017,1.9995770111041018,0.8471357260281822
8,RF,"('_transition', '_distribution', '_conjoint_triad')","CTD,CTD,Conjoint Triad",0.8454702560463173,2.400868050565549,5.764167396226423,2.5438643991515115,1.900490566037736,0.8514494888121222
9,Bag,"('_tripeptide_composition', '_distribution', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.8446762184108784,2.356718217080053,5.554120754716982,2.5373537663062486,1.8433962264150947,0.8474594121888178
10,PLS,"('_moran_autocorrelation', '_ctd', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.8394485632506946,2.543743949707189,6.470633281671933,2.495703004342669,2.1037126901745813,0.8408493645767875
